venue,batting_team,bowling_team,runs,wickets,overs,runs_last_5,wickets_last_5,total
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,61,0,5.1,59,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.2,59,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.3,59,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.4,59,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.5,58,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.6,58,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,62,1,6.1,55,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,63,1,6.2,52,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,64,1,6.3,47,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,66,1,6.4,45,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,67,1,6.5,46,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,68,1,6.6,47,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,68,1,7.1,47,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,69,1,7.2,47,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,70,1,7.3,44,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,71,1,7.4,44,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,72,1,7.5,45,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,73,1,7.6,41,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.1,35,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.2,34,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.3,30,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,74,1,8.4,31,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,75,1,8.5,31,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,77,1,8.6,27,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,78,1,9.1,24,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,79,1,9.2,24,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,80,1,9.3,21,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,80,1,9.4,21,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,86,1,9.5,26,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,87,1,9.6,27,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,88,1,10.1,27,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,92,1,10.2,31,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,92,1,10.3,31,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,98,1,10.4,37,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,98,1,10.5,37,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,102,1,10.6,41,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,102,1,11.1,40,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,108,1,11.2,45,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,110,1,11.3,46,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,111,1,11.4,45,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,111,1,11.5,44,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,112,1,11.6,44,0,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,112,2,12.1,44,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,116,2,12.2,47,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,116,2,12.3,46,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,118,2,12.4,47,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,119,2,12.4,47,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,123,2,12.5,50,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,124,2,12.6,51,1,222
M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,125,2,13.1,52,1,222
